"","lat_yr","dev_temp_min","dev_prcp"
"1","29_2019",-0.0752135474509057,-31.2546707440905
"2","30_2019",-0.0736858974754231,-14.8451477888771
"3","31_2019",-0.0183443354409594,-74.286140209734
"4","32_2019",0.0482335970631542,-36.2269544947221
"5","33_2019",0.120356218599669,27.3700577208203
"6","34_2019",0.136178234303395,50.494196599986
"7","35_2019",0.12853291591056,96.9321042197814
"8","36_2019",0.101565981106317,152.589721427825
"9","37_2019",0.0887203893297404,145.343747343476
"10","38_2019",0.00682901413253312,109.141215288105
"11","39_2019",-0.0751820099105052,117.073346843642
"12","40_2019",-0.176298187742256,143.579064135973
"13","41_2019",-0.379610218552971,191.759283429695
"14","42_2019",-0.574870343698947,180.213216863556
"15","43_2019",-0.715221884948595,212.340249221112
"16","44_2019",-0.893942562384624,234.662321385342
"17","29_2020",0.129503843993691,-22.7018533052558
"18","30_2020",0.264101192899458,-8.78803914069863
"19","31_2020",0.338998040934271,35.6897780976701
"20","32_2020",0.31617567360054,149.088636004304
"21","33_2020",0.260143293504081,182.368768971147
"22","34_2020",0.244481390103392,173.081937099191
"23","35_2020",0.258908409503311,167.423846352982
"24","36_2020",0.259854410751046,105.762808400986
"25","37_2020",0.291751896735496,123.576624914457
"26","38_2020",0.26967879594986,62.0677655384704
"27","39_2020",0.293632948312291,16.2476624881485
"28","40_2020",0.322326123486826,-45.379277680329
"29","41_2020",0.353811762738735,-88.4667467103187
"30","42_2020",0.416496093474882,-75.1467990613692
"31","43_2020",0.450522052075895,-82.6500585035279
"32","44_2020",0.486988868105651,-87.2991669122403
"33","29_2021",0.113628822433489,195.382784283913
"34","30_2021",0.103026506114452,179.491225364446
"35","31_2021",0.0419438382224744,156.523311450387
"36","32_2021",-0.0116077156190517,28.8065196737275
"37","33_2021",-0.0478184001262338,-40.6099387455583
"38","34_2021",-0.0112095052068177,-48.5806258397361
"39","35_2021",0.0223246306430447,-95.2463697990872
"40","36_2021",0.0947454638036103,-113.994393854852
"41","37_2021",0.210440566062279,-103.774913861773
"42","38_2021",0.352657960125489,-48.430465279024
"43","39_2021",0.458441016701502,-36.1517767346606
"44","40_2021",0.592311748323103,5.29106852771918
"45","41_2021",0.701186764729354,28.4853686868528
"46","42_2021",0.783130941311564,-6.00099196978351
"47","43_2021",0.846793763967325,-24.8641029899142
"48","44_2021",0.923443442012568,-66.3337076139447
"49","29_2022",-0.167919118976275,-141.426260234567
"50","30_2022",-0.293441801538487,-155.858038434871
"51","31_2022",-0.36259754371579,-117.926949338323
"52","32_2022",-0.352801555044643,-141.66820118331
"53","33_2022",-0.332681111977514,-169.128887946409
"54","34_2022",-0.369450119199971,-174.995507859442
"55","35_2022",-0.409765956056917,-169.109580773676
"56","36_2022",-0.456165855660974,-144.358135973959
"57","37_2022",-0.590912852127514,-165.14545839616
"58","38_2022",-0.629165770207884,-122.778515547552
"59","39_2022",-0.676891955103287,-97.1692325971303
"60","40_2022",-0.738339684067674,-103.490854983363
"61","41_2022",-0.67538830891512,-131.777905406229
"62","42_2022",-0.624756691087498,-99.0654258324035
"63","43_2022",-0.582093931094623,-104.826087727669
"64","44_2022",-0.516489747733595,-81.0294468591577
